Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-02-21T18:22:28.297099Z,DBX,SELL - MARKET,1.46039309,USD 22.67,USD 32.02,USD,1.0862
2020-02-21T18:23:19.337614Z,SPCE,SELL - MARKET,1,USD 34.80,USD 33.71,USD,1.0862
2020-02-21T18:34:08.557042Z,PARAA,BUY - MARKET,1.5,USD 33.07,USD 50.69,USD,1.0859
2020-02-24T14:56:13.940804Z,,CASH TOP-UP,,,USD 55,USD,1.0850
2020-02-24T14:57:38.916307Z,MSFT,BUY - MARKET,0.63199169,USD 173.42,USD 110.68,USD,1.0849
2020-03-10T19:30:03.164247Z,PFE,DIVIDEND,,,USD 0.28,USD,1.1299
2020-03-11T16:15:36.664107Z,,CASH TOP-UP,,,USD 113,USD,1.1263
2020-03-11T16:16:23.100980Z,TSLA,BUY - MARKET,0.17576415,USD 644.50,USD 113.28,USD,1.1266
2020-03-16T05:29:07.530260Z,MSFT,DIVIDEND,,,USD 0.08,USD,1.1124
2020-03-17T04:40:39.926856Z,NEE,DIVIDEND,,,USD 0.20,USD,1.1184
2020-03-19T19:42:48.674086Z,,CASH TOP-UP,,,USD 107,USD,1.0675
2020-03-19T19:44:16.577211Z,AAPL,BUY - MARKET,0.42977325,USD 249.62,USD 107.28,USD,1.0678
2020-03-24T06:10:40.313625Z,AMC,DIVIDEND,,,USD 0.13,USD,1.0783
2020-03-25T09:55:17.881599Z,,CASH TOP-UP,,,USD 108.50,USD,1.0844
2020-03-25T17:33:36.702019Z,SPCE,BUY - MARKET,6.28282244,USD 17.29,USD 108.63,USD,1.0865
2020-03-31T23:10:53.286499Z,,CUSTODY FEE,,,USD -0.01,USD,1.1029
2020-04-02T05:34:57.625201Z,VIACA,DIVIDEND,,,USD 0.48,USD,1.0950
2020-04-06T13:48:15.644669Z,,CASH TOP-UP,,,USD 108,USD,1.0797
2020-04-06T14:15:47.778742Z,SPCE,BUY - MARKET,7.5,USD 13.62,USD 102.15,USD,1.0810
2020-04-07T11:47:32.311472Z,,CASH TOP-UP,,,USD 108.80,USD,1.0872
2020-04-07T13:35:37.921675Z,PLUG,BUY - MARKET,14.28571428,USD 3.85,USD 55,USD,1.0908
2020-04-07T13:40:59.045017Z,CRM,BUY - MARKET,0.38114343,USD 149.55,USD 58.09,USD,1.0908
2020-04-14T19:49:59.416765Z,,CASH TOP-UP,,,USD 55,USD,1.0985
2020-04-14T19:51:26.256792Z,PARAA,BUY - MARKET,2.96763925,USD 18.85,USD 57.03,USD,1.0984
2020-04-15T16:11:48.127759Z,,CASH TOP-UP,,,USD 110,USD,1.0910
2020-04-15T16:14:21.906598Z,IGMS,BUY - MARKET,1.93404634,USD 56.10,USD 109.59,USD,1.0910
2020-04-16T13:32:33.470681Z,TSLA,SELL - MARKET,0.17576415,USD 716.02,USD 124.76,USD,1.0885
2020-04-16T13:41:54.393404Z,SPCE,SELL - MARKET,13.78282244,USD 20.10,USD 275.94,USD,1.0880
2020-04-16T14:02:53.909973Z,IGMS,BUY - MARKET,3.5,USD 57.50,USD 202.33,USD,1.0887
2020-04-20T14:21:35.633346Z,GILD,BUY - MARKET,2.23,USD 84.56,USD 189.65,USD,1.0872
2020-04-30T23:15:34.339374Z,,CUSTODY FEE,,,USD -0.01,USD,1.0946
2020-05-04T13:33:19.136154Z,,CASH TOP-UP,,,USD 109.30,USD,1.0927
2020-05-04T13:50:48.775896Z,SPCE,BUY - MARKET,6.5,USD 16.41,USD 106.67,USD,1.0932
2020-05-06T18:24:39.332443Z,PLUG,SELL - MARKET,14.28571428,USD 4.24,USD 60.56,USD,1.0810
2020-05-06T18:24:39.511700Z,CRM,SELL - MARKET,0.38114343,USD 164.95,USD 62.86,USD,1.0810
2020-05-06T18:25:52.602548Z,SPCE,SELL - MARKET,6.5,USD 18.69,USD 120.40,USD,1.0811
2020-05-06T18:26:28.886224Z,AAPL,SELL - MARKET,0.42977325,USD 302.28,USD 128.82,USD,1.0811
2020-05-08T18:43:02.509105Z,SPCE,BUY - MARKET,6,USD 19.55,USD 118.38,USD,1.0845
2020-05-11T19:05:59.046756Z,IGMS,SELL - MARKET,5.43404634,USD 63.58,USD 344.40,USD,1.0812
2020-05-11T19:08:21.404340Z,NEE,BUY - MARKET,0.87627059,USD 228.24,USD 201.08,USD,1.0813
2020-05-13T17:17:22.065076Z,SPCE,BUY - MARKET,5.88581518,USD 16.99,USD 101.08,USD,1.0819
2020-05-13T17:18:56.236953Z,BYND,BUY - MARKET,1,USD 131.80,USD 132.88,USD,1.0820
2020-05-14T16:05:54.033264Z,MSFT,BUY - MARKET,0.98725573,USD 176.55,USD 175.37,USD,1.0796
2020-05-18T15:37:58.627140Z,,CASH TOP-UP,,,USD 109,USD,1.0878
2020-05-18T15:55:51.819542Z,SPCE,BUY - MARKET,6.35,USD 16.09,USD 103.25,USD,1.0902
2020-05-28T13:23:00.749347Z,,CASH TOP-UP,,,USD 190,USD,1.1038
2020-05-28T18:42:51.446838Z,SPCE,BUY - MARKET,5.68862275,USD 16.70,USD 95,USD,1.1088
2020-05-28T19:46:10.304750Z,BYND,BUY - MARKET,0.78,USD 121.65,USD 94.89,USD,1.1072
2020-05-31T23:31:13.399782Z,,CUSTODY FEE,,,USD -0.01,USD,1.1119
2020-06-08T04:29:56.502247Z,PFE,DIVIDEND,,,USD 0.28,USD,1.1292
2020-06-08T14:39:00.917200Z,BYND,SELL - MARKET,1.78,USD 143.61,USD 255.61,USD,1.1300
2020-06-08T14:39:27.255525Z,PARAA,SELL - MARKET,5.34451457,USD 29.44,USD 156.21,USD,1.1300
2020-06-10T18:35:32.614395Z,BA,BUY - MARKET,0.47842311,USD 209.02,USD 101.14,USD,1.1416
2020-06-10T18:37:58.880181Z,SPCE,BUY - MARKET,6.13496932,USD 16.30,USD 101.14,USD,1.1420
2020-06-10T18:39:50.341289Z,NVDA,BUY - MARKET,0.56483691,USD 377.10,USD 214.13,USD,1.1402
2020-06-12T06:03:07.298831Z,MSFT,DIVIDEND,,,USD 0.79,USD,1.1314
2020-06-15T18:46:29.761979Z,,CASH TOP-UP,,,USD 132,USD,1.1320
2020-06-15T18:55:23.566606Z,MGI,BUY - MARKET,40,USD 3.14,USD 126.71,USD,1.1314
2020-06-16T06:21:18.698820Z,NEE,DIVIDEND,,,USD 1.24,USD,1.1336
2020-06-24T05:33:08.839248Z,SNE,DIVIDEND,,,USD 0.23,USD,1.1320
2020-06-30T05:47:51.782266Z,GILD,DIVIDEND,,,USD 1.29,USD,1.1230
2020-06-30T23:35:30.578060Z,,CUSTODY FEE,,,USD -0.02,USD,1.1236
2020-07-06T13:51:47.541043Z,NEE,SELL - MARKET,0.40296582,USD 248.16,USD 99.99,USD,1.1347
2020-07-06T13:52:28.580653Z,,CASH TOP-UP,,,USD 22,USD,1.1345
2020-07-06T13:53:00.601522Z,AAL,BUY - MARKET,9.50155763,USD 12.84,USD 122,USD,1.1344
2020-07-15T17:35:34.688590Z,,CASH TOP-UP,,,USD 115,USD,1.1409
2020-07-15T17:35:59.697384Z,PFE,BUY - MARKET,3.50335382,USD 35.78,USD 125.35,USD,1.1411
2020-07-17T14:32:38.678738Z,NEE,SELL - MARKET,0.63647153,USD 272.72,USD 172.43,USD,1.1437
2020-07-20T13:36:36.688277Z,MU,BUY - MARKET,3.25,USD 49.66,USD 162.54,USD,1.1427
2020-07-24T13:59:35.466448Z,,CASH TOP-UP,,,USD 200,USD,1.1615
2020-07-24T14:00:13.961847Z,INTC,BUY - MARKET,4.17316536,USD 50.01,USD 209.86,USD,1.1618
2020-07-28T19:51:49.287146Z,SPCE,SELL - MARKET,30.05940725,USD 23.82,USD 716,USD,1.1720
2020-07-30T14:05:51.081651Z,MGI,SELL - MARKET,40,USD 3.72,USD 148.79,USD,1.1789
2020-07-31T17:35:58.313741Z,GILD,BUY - MARKET,2,USD 69.18,USD 138.36,USD,1.1797
2020-07-31T23:13:28.437783Z,,CUSTODY FEE,,,USD -0.01,USD,1.1837
2020-08-03T17:38:34.699892Z,JD,BUY - MARKET,2,USD 64.23,USD 129.63,USD,1.1757
2020-08-03T17:51:48.365067Z,FSLY,BUY - MARKET,1,USD 108.76,USD 109.93,USD,1.1757
2020-08-03T17:53:33.920869Z,MRNA,BUY - MARKET,1,USD 77.14,USD 78.31,USD,1.1757
2020-08-03T17:54:19.346102Z,NKLAQ,BUY - MARKET,3,USD 33.33,USD 101.16,USD,1.1757
2020-08-03T19:22:51.789064Z,BA,BUY - MARKET,0.52157689,USD 162.45,USD 85.90,USD,1.1767
2020-08-04T14:38:59.844448Z,NKLAQ,SELL - MARKET,3,USD 39.15,USD 116.27,USD,1.1749
2020-08-06T13:32:50.085828Z,FSLY,BUY - MARKET,1,USD 92,USD 93.18,USD,1.1846
2020-08-07T13:43:39.661829Z,SONY,SELL - MARKET,1.14997018,USD 80.47,USD 91.36,USD,1.1773
2020-08-07T13:47:26.592764Z,PFE,SELL - MARKET,4.37291903,USD 38.23,USD 166,USD,1.1774
2020-08-07T13:53:05.515473Z,ADBE,BUY - MARKET,0.5,USD 459.76,USD 231.05,USD,1.1768
2020-08-07T14:14:55.530395Z,IGMS,BUY - MARKET,2,USD 53.60,USD 108.37,USD,1.1767
2020-08-07T14:40:57.922062Z,NKLAQ,BUY - MARKET,4,USD 36.73,USD 148.09,USD,1.1778
2020-08-10T13:39:50.713498Z,NKLAQ,SELL - MARKET,4,USD 43.12,USD 171.30,USD,1.1773
2020-08-10T13:43:14.005340Z,BIDU,BUY - MARKET,1.3,USD 127.15,USD 166.47,USD,1.1772
2020-08-13T14:12:44.758816Z,,CASH TOP-UP,,,USD 175.13,USD,1.1862
2020-08-24T18:00:19.105191Z,,CASH TOP-UP,,,USD 53,USD,1.1800
2020-08-24T18:48:43.444165Z,JD,SELL - MARKET,2,USD 76.07,USD 150.96,USD,1.1797
2020-08-24T18:51:30.084456Z,ADBE,SELL - MARKET,0.5,USD 473.70,USD 235.66,USD,1.1797
2020-08-24T18:56:21.499220Z,SPCE,BUY - MARKET,15,USD 17.45,USD 262.92,USD,1.1795
2020-08-28T14:05:50.980010Z,DBX,BUY - MARKET,5,USD 20.87,USD 104.35,USD,1.1884
2020-08-31T14:35:04.488767Z,TSLA,BUY - MARKET,0.5,USD 467.10,USD 233.55,USD,1.1952
2020-08-31T23:31:52.011299Z,,CUSTODY FEE,,,USD -0.02,USD,1.1940
2020-09-02T06:54:42.601367Z,PFE,DIVIDEND,,,USD 1.41,USD,1.1900
2020-09-02T06:55:25.507575Z,INTC,DIVIDEND,,,USD 1.17,USD,1.1902
2020-09-04T14:16:11.335398Z,NVDA,SELL - MARKET,0.56483691,USD 488.55,USD 275.93,USD,1.1793
2020-09-04T14:16:40.272340Z,MSFT,SELL - MARKET,1.8223591,USD 211.69,USD 384.59,USD,1.1794
2020-09-04T16:06:21.366621Z,TSLA,BUY - MARKET,0.5,USD 397.56,USD 199.96,USD,1.1819
2020-09-04T16:09:15.352898Z,SPCE,BUY - MARKET,7,USD 15.61,USD 110.45,USD,1.1820
2020-09-08T16:03:13.027217Z,SPCE,BUY - MARKET,20,USD 17.61,USD 353.37,USD,1.1792
2020-09-09T13:30:03.172545Z,BIDU,SELL - MARKET,1.3,USD 120.14,USD 155,USD,1.1822
2020-09-09T13:30:20.979152Z,MU,SELL - MARKET,3.25,USD 45.77,USD 147.57,USD,1.1822
2020-09-09T13:30:39.958059Z,AMC,SELL - MARKET,4.88472622,USD 6.41,USD 30.13,USD,1.1823
2020-09-09T13:36:42.863446Z,SPCE,BUY - MARKET,10,USD 18.53,USD 186.48,USD,1.1818
