AccountID;FinancialInstrument;SettlementDate;DateValue;TransactionTypeName;VolumeValue;Volume;PriceValue;Price
54998;ASTR US;24.11.2021;22. 11. 2021 15:49:00;Nakup;80;80,00;13,04;13,04
54998;ASTR US;14.09.2023;14. 09. 2023 00:00:00;Splošna KA Združitev/Reverse Split;5;5,00;208,6399999982;208,64
54998;ASTR US;19.07.2024;19. 07. 2024 00:00:00;Splošna KA Združitev/Merger (denar);-5;-5,00;195,6;195,60
54998;ASTR US OLD;14.09.2023;14. 09. 2023 00:00:00;Splošna KA Združitev/Reverse Split;-80;-80,00;13,04;13,04
54998;INDY US;21.02.2020;19. 02. 2020 19:20:00;Nakup;31;31,00;38,34;38,34
54998;MCHI US;21.02.2020;19. 02. 2020 19:27:00;Nakup;18;18,00;65,33;65,33
54998;MCHI US;05.03.2021;3. 03. 2021 15:30:00;Prodaja;-18;-18,00;88,95;88,95
54998;SX5EEX GY;20.02.2020;18. 02. 2020 09:45:00;Nakup;61;61,00;38,55;38,55
54998;SX8PEX GY;20.02.2020;18. 02. 2020 09:07:00;Nakup;21;21,00;53,99;53,99
